amihud,cs_spread,edge,vix_5d_change,vix_term_ratio,yield_curve_slope,spy_drawdown,realized_vol_20d
-0.1639646675540898,0.0,-0.4881645743261112,-1.010645565268829,-0.2589262454233105,0.703879538921261,2.4853892761985774,1.8167759779946342
-0.016284554291955466,0.0,-0.3494604051974814,-1.0574656197088828,-0.2923133316284024,0.5276120998445096,2.6631540821817827,1.6641695890698425
-0.06176441744878244,-0.5399932589108886,-0.22471138995685755,-1.2034947762416746,-0.44345781294904163,0.2536986387463867,3.0237940998138537,1.7154417754346005
-0.4742201721017404,-0.3615991087608085,0.25049882027351805,-0.19499940336249688,0.3587105249836192,0.8331976845708744,2.16538856275657,1.2045344965640885
-0.7382599644860941,-0.1787557375497546,0.20475352534351463,-0.39424931711562006,0.7790645590575309,0.1899428657078484,1.104542438522614,1.426135186892661
-0.07763293554250054,-0.08171858503476181,-0.07273859548942736,-0.4946309108325945,0.4514301398022201,0.16498692786429361,1.0020308325412854,-0.19970109661955246
0.527523309533256,-0.0647233106331399,0.09042643579228309,-0.3978429687439776,0.47365721346380374,0.38298232298246704,1.4212408036351167,-0.8500509508977373
0.7296916468043338,0.04406849615566034,-0.17954579296475712,-0.4710499444621972,0.3015030173504489,0.1945190944464852,1.2791229301366234,-1.0950265088416902
0.4474371226329571,0.06295794343394052,-0.12224573768527794,-0.36312913113398004,0.17988827940916843,0.04269549778449292,1.0144897328734246,-0.6745382193811186
0.54225970791761,0.038214583770729005,0.01272700788269992,-0.37794804721881775,0.17768830059778026,0.05761036843903439,1.0243495907441922,-0.9945542364698529
0.564645549152379,0.025737482681568367,0.06747864294191709,-0.30868924801251435,0.08726861081995074,0.030410849061785053,1.0142038701610774,-1.0035787501801363
0.6676068239202169,-0.005366477679918026,-0.0638763765975184,-0.29248280101949475,0.16918116061959387,0.03681341525351459,0.999489826913459,-1.0545245705663964
0.7330765026822579,-0.0007768518644084579,0.005575329396684991,-0.2132791777740913,0.20358174201796037,0.051320588018070434,0.9871413263351835,-1.153597707887005
0.7916994431063077,-0.001808787970029418,-0.035531418688842555,-0.20653842457250657,0.2221243007664605,0.19644283440512883,0.91480543765861,-1.1055745636985974
0.8653430880888822,-0.011028805772104034,0.1344793268508026,-0.24719124995094452,0.3281509992921392,0.4218022934541767,0.8817740682241011,-1.1706125658372715
1.020381638481663,-0.008537888556169236,0.23075516161190854,-0.28181703527343555,0.39816543956634304,0.5572784817136504,0.9760462950855481,-1.3864947429436054
0.9731283648213546,-0.011884123628537658,0.2701366453588732,-0.26701822891413435,0.38659512787313216,0.5057262412589303,0.9467624702751346,-1.3452113259147676
0.9291181764451576,-0.029476049913957122,0.2435635608224901,-0.2505493385074608,0.39630513168534826,0.6334843797845212,0.9372906021637849,-1.2682295333230307
0.5509939590666891,-0.039151241651483974,0.24466409102652134,-0.23527134195173124,0.4194948550482659,0.4614145195459387,0.777009230466435,-0.783237588396935
0.39867059197042404,-0.039053479225336106,0.17775088948567513,-0.2281288325852235,0.3996300517259909,0.43850059394035407,0.7753409693383897,-0.5672674399142228
0.3897865127610675,-0.039281254410230275,0.18798226386844433,-0.2398342314634259,0.4205750702382382,0.5039733064570043,0.8289372537812353,-0.5771353593343428
0.3962019106359585,0.009988398645774799,0.18447259246659248,-0.18263488880936105,0.5192494502079081,0.4428344212585817,0.8263507820786746,-0.5772092607458196
0.3631396719476564,0.009653424340143131,0.17899427222431108,-0.15001823545276385,0.4651807351396635,0.4578737928197412,0.7939730810010217,-0.5216419274025931
0.46573684073123106,-0.0007492011387558015,0.1915271192423114,-0.18141853838779695,0.513231725049964,0.4229188400571604,0.7720771878032752,-0.5879806094298531
0.3741578326811247,-0.01251525054185209,0.22961856593928426,-0.1600889567361851,0.4649159829405464,0.39931475937859995,0.7785313754316683,-0.5068801082610439
0.3498432470703791,0.012623033916440056,0.2160603813336634,-0.17025172100471136,0.45311460701324646,0.3345891533130917,0.7741364340851167,-0.47865196385188025
0.2818077750498897,0.005761154377681193,0.14423077064836742,-0.16222318128858065,0.44861980199397977,0.25588473891223124,0.7512562609484166,-0.3441106461264672
0.27698480969027783,0.008231221812592327,0.15507159794529599,-0.16976832756367874,0.4552286513638584,0.3304454997922331,0.7498348171111119,-0.3541375339548974
0.24205169471366997,0.013570828498620081,0.11136791331806761,-0.17290180479070227,0.43582998875942025,0.19023245735259262,0.7971638662130256,-0.27721175277956883
0.2529667000871873,0.013646584079093861,0.12997033191815088,-0.1607021386596009,0.4031687759579461,0.2565487108452731,0.7505262780410235,-0.29718159731989474
0.2020471657333387,0.0043391761579218684,0.14335748690861388,-0.15121278601501473,0.37561462785311417,0.3252626232867043,0.6790466527798293,-0.22565678334672432
0.22778755442939638,-4.23561891313039e-05,0.12546773925747243,-0.14210489074195307,0.3852100134320393,0.31658168439398765,0.6643780554469212,-0.23087601521841705
