feature,mean,sd,ci_lo,ci_hi,sign_consistency
amihud_zscore,0.13454775647558273,0.2665057430914578,-0.3878034999836746,0.65689901293484,0.75
amihud_5d_change,-0.27245788908058216,0.14164840153588093,-0.5500887560909088,0.005172977929744471,1.0
cs_spread,-0.04354321448830855,0.1325148728707411,-0.3032723653149611,0.216185936338344,0.5625
edge,0.07537565636031575,0.19067654652817914,-0.2983503748349154,0.44910168755554686,0.75
vix_5d_change,-0.32331286418463434,0.2593651623763589,-0.8316685824422978,0.18504285407302912,1.0
vix_term_ratio,0.3051574077155907,0.2410023814734433,-0.1672072599723582,0.7775220754035396,0.90625
yield_curve_slope,0.35714687811656953,0.24464045291550326,-0.12234840959781684,0.836642165830956,0.8125
spy_drawdown,1.076891723758843,0.5583835804262371,-0.017540093876581953,2.1713235413942678,1.0
realized_vol_20d,-0.004812429872386809,0.6498369667764287,-1.278492884754187,1.2688680250094133,0.78125
